Onderwerp,Perioden,Waarde_Groningen (PV)_2015,Waarde_Groningen (PV)_2016,Waarde_Groningen (PV)_2017,Waarde_Friesland (PV)_2015,Waarde_Friesland (PV)_2016,Waarde_Friesland (PV)_2017,Waarde_Drenthe (PV)_2015,Waarde_Drenthe (PV)_2016,Waarde_Drenthe (PV)_2017,Waarde_Overijssel (PV)_2015,Waarde_Overijssel (PV)_2016,Waarde_Overijssel (PV)_2017,Waarde_Flevoland (PV)_2015,Waarde_Flevoland (PV)_2016,Waarde_Flevoland (PV)_2017,Waarde_Gelderland (PV)_2015,Waarde_Gelderland (PV)_2016,Waarde_Gelderland (PV)_2017,Waarde_Utrecht (PV)_2015,Waarde_Utrecht (PV)_2016,Waarde_Utrecht (PV)_2017,Waarde_Noord-Holland (PV)_2015,Waarde_Noord-Holland (PV)_2016,Waarde_Noord-Holland (PV)_2017,Waarde_Zuid-Holland (PV)_2015,Waarde_Zuid-Holland (PV)_2016,Waarde_Zuid-Holland (PV)_2017,Waarde_Zeeland (PV)_2015,Waarde_Zeeland (PV)_2016,Waarde_Zeeland (PV)_2017,Waarde_Noord-Brabant (PV)_2015,Waarde_Noord-Brabant (PV)_2016,Waarde_Noord-Brabant (PV)_2017,Waarde_Limburg (PV)_2015,Waarde_Limburg (PV)_2016,Waarde_Limburg (PV)_2017,Marges_Groningen (PV)_2015,Marges_Groningen (PV)_2016,Marges_Groningen (PV)_2017,Marges_Friesland (PV)_2015,Marges_Friesland (PV)_2016,Marges_Friesland (PV)_2017,Marges_Drenthe (PV)_2015,Marges_Drenthe (PV)_2016,Marges_Drenthe (PV)_2017,Marges_Overijssel (PV)_2015,Marges_Overijssel (PV)_2016,Marges_Overijssel (PV)_2017,Marges_Flevoland (PV)_2015,Marges_Flevoland (PV)_2016,Marges_Flevoland (PV)_2017,Marges_Gelderland (PV)_2015,Marges_Gelderland (PV)_2016,Marges_Gelderland (PV)_2017,Marges_Utrecht (PV)_2015,Marges_Utrecht (PV)_2016,Marges_Utrecht (PV)_2017,Marges_Noord-Holland (PV)_2015,Marges_Noord-Holland (PV)_2016,Marges_Noord-Holland (PV)_2017,Marges_Zuid-Holland (PV)_2015,Marges_Zuid-Holland (PV)_2016,Marges_Zuid-Holland (PV)_2017,Marges_Zeeland (PV)_2015,Marges_Zeeland (PV)_2016,Marges_Zeeland (PV)_2017,Marges_Noord-Brabant (PV)_2015,Marges_Noord-Brabant (PV)_2016,Marges_Noord-Brabant (PV)_2017,Marges_Limburg (PV)_2015,Marges_Limburg (PV)_2016,Marges_Limburg (PV)_2017
|||Denkt dat er veel criminaliteit in buurt,%,"8,3","7,6","7,0","5,2","3,9","3,5","5,4","5,5","4,7","6,2","5,6","5,3","11,9","10,7","11,8","6,8","5,9","6,3","10,4","10,0","11,3","12,7","11,4","11,2","12,6","11,6","11,3","5,6","5,1","5,5","9,4","8,1","8,8","11,5","10,5","10,3","1,3","1,2","1,2","1,0","1,0","0,8","1,2","1,2","0,6","0,8","0,8","0,8","1,9","1,6","1,2","0,7","0,6","0,6","1,0","0,9","1,0","0,7","0,6","0,6","0,5","0,5","0,5","1,3","1,3","1,1","0,7","0,6","0,6","1,0","1,0","0,9"
|||Vindt criminaliteit in buurt toegenomen ,%,"9,8","9,3","9,3","9,3","8,7","7,4","11,0","12,0","10,9","12,5","10,8","8,6","13,7","14,5","15,3","10,7","11,1","10,8","11,4","11,7","13,2","13,7","12,2","12,4","15,3","13,5","13,8","10,7","9,7","9,5","12,8","11,0","11,3","13,8","12,2","12,7","1,3","1,3","1,3","1,3","1,3","1,1","1,7","1,7","0,9","1,1","1,1","0,9","2,0","1,8","1,4","0,8","0,8","0,7","1,1","1,0","1,0","0,7","0,7","0,6","0,5","0,6","0,5","1,8","1,7","1,3","0,8","0,7","0,7","1,1","1,0","1,0"
|||Vindt criminaliteit in buurt afgenomen  ,%,"4,3","3,5","3,4","2,7","3,2","2,7","2,7","3,2","2,7","3,9","3,5","4,3","5,5","5,5","5,2","3,6","3,9","3,7","5,2","4,9","4,3","5,3","5,6","5,2","4,9","4,5","4,4","3,8","3,4","2,7","4,2","4,3","4,2","3,0","3,7","3,5","1,0","0,8","0,8","0,7","0,8","0,7","0,8","0,9","0,4","0,6","0,7","0,7","1,3","1,3","0,9","0,5","0,5","0,5","0,8","0,7","0,6","0,5","0,5","0,4","0,3","0,4","0,3","1,1","1,1","0,6","0,5","0,5","0,4","0,5","0,6","0,5"
|||Vindt criminaliteit in buurt gelijk ,%,"52,0","52,5","50,6","52,4","49,1","52,3","51,6","51,7","51,6","49,8","50,3","49,9","51,5","49,6","47,6","51,9","51,1","51,7","57,1","54,4","54,3","51,0","51,1","50,1","50,0","50,5","50,1","51,9","54,0","51,8","53,3","53,4","51,9","53,9","51,0","49,1","2,2","2,2","2,2","2,2","2,3","2,2","2,5","2,6","1,3","1,6","1,7","1,6","2,9","2,6","2,0","1,2","1,2","1,2","1,6","1,6","1,5","1,0","1,0","0,9","0,7","0,9","0,7","2,7","2,8","2,1","1,1","1,1","1,0","1,6","1,5","1,4"
|||Rapportcijfer veiligheid in buurt ,rapportcijfer,"7,3","7,4","7,4","7,5","7,7","7,7","7,5","7,5","7,5","7,4","7,5","7,5","7,2","7,2","7,2","7,4","7,4","7,5","7,2","7,3","7,3","7,1","7,2","7,2","7,0","7,1","7,1","7,5","7,5","7,5","7,2","7,3","7,3","7,1","7,2","7,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,1","0,1","0,0","0,0","0,0","0,0","0,0","0,0"
|||Rondom uitgaansgelegenheden,% wel eens onveilig ('vaak'/'soms'),"23,1","23,1","22,0","20,4","18,0","18,2","17,6","15,8","17,4","22,4","20,9","21,4","24,6","24,7","24,9","21,2","21,0","20,4","23,6","21,1","21,5","25,5","23,9","23,9","23,8","23,5","22,2","18,7","16,6","16,8","24,4","22,7","22,0","24,0","21,6","21,2","1,9","1,9","1,8","1,8","1,8","1,7","2,0","1,9","1,1","1,3","1,4","1,3","2,5","2,2","1,7","1,0","1,0","1,0","1,4","1,3","1,3","0,9","0,8","0,8","0,6","0,7","0,6","2,1","2,2","1,6","1,0","1,0","0,9","1,3","1,3","1,2"
||Op plekken waar jongeren rondhangen,% wel eens onveilig ('vaak'/'soms'),"36,1","35,0","35,5","32,4","29,2","28,3","32,1","31,2","30,7","36,6","34,8","35,6","43,1","44,4","43,7","36,7","37,2","35,5","45,0","44,1","43,7","45,4","44,4","42,5","44,3","43,0","41,6","32,0","30,4","29,3","41,1","39,4","38,7","39,4","37,5","37,8","2,1","2,1","2,1","2,0","2,1","2,0","2,4","2,4","1,2","1,5","1,6","1,5","2,9","2,6","2,0","1,2","1,2","1,1","1,6","1,6","1,5","1,0","1,0","0,9","0,7","0,8","0,7","2,5","2,6","1,9","1,1","1,1","1,0","1,5","1,5","1,4"
||In centrum van woonplaats,% wel eens onveilig ('vaak'/'soms'),"14,8","13,8","12,8","12,8","11,2","11,2","12,1","11,3","11,9","15,7","14,0","14,2","22,4","21,8","21,6","13,8","13,7","13,3","15,4","14,6","14,6","18,7","18,2","17,6","19,8","19,2","18,0","13,8","12,9","11,6","15,2","14,7","14,0","17,1","14,9","16,1","1,6","1,5","1,4","1,4","1,5","1,4","1,7","1,6","0,9","1,2","1,2","1,1","2,4","2,1","1,6","0,9","0,8","0,8","1,2","1,1","1,1","0,8","0,7","0,7","0,6","0,7","0,6","1,8","1,9","1,4","0,8","0,8","0,7","1,2","1,1","1,0"
||In winkelgebied/winkelcentrum,% wel eens onveilig ('vaak'/'soms'),"11,9","10,6","9,0","9,2","8,9","8,5","11,3","10,2","10,2","10,6","9,9","9,7","18,0","17,7","17,6","10,9","10,6","10,5","14,6","14,3","13,4","13,8","13,8","13,1","16,3","15,7","14,7","10,9","9,1","8,8","11,0","10,5","10,1","14,5","12,2","12,5","1,4","1,4","1,2","1,2","1,3","1,2","1,6","1,6","0,9","1,0","1,0","0,9","2,2","1,9","1,5","0,8","0,7","0,7","1,2","1,1","1,0","0,7","0,7","0,6","0,6","0,6","0,5","1,6","1,6","1,2","0,7","0,7","0,6","1,1","0,9","0,9"
||In openbaar vervoer,% wel eens onveilig ('vaak'/'soms'),"11,2","11,2","12,0","9,3","9,5","8,0","10,1","9,8","10,0","12,4","13,3","12,0","22,2","23,7","22,7","14,8","14,2","13,5","18,9","18,0","17,5","21,4","21,2","20,2","25,2","25,2","23,2","11,9","10,4","9,3","14,4","15,4","13,4","16,6","15,0","14,2","1,4","1,4","1,4","1,3","1,4","1,2","1,6","1,6","0,8","1,0","1,2","1,0","2,4","2,2","1,5","0,9","0,9","0,8","1,3","1,2","1,2","0,8","0,8","0,7","0,6","0,7","0,6","1,8","1,8","1,2","0,8","0,8","0,7","1,2","1,1","1,0"
||Bij treinstation in woonplaats,% wel eens onveilig ('vaak'/'soms'),"12,9","12,7","12,2","8,6","9,0","7,8","11,9","11,4","11,2","15,0","14,0","14,1","28,6","25,6","27,0","14,8","14,5","14,3","18,1","16,8","15,8","22,5","21,9","21,7","21,0","20,8","19,1","11,1","8,9","8,1","14,8","14,6","13,6","20,0","18,2","18,3","1,5","1,5","1,4","1,3","1,4","1,2","1,7","1,7","0,9","1,2","1,2","1,1","2,6","2,2","1,6","0,9","0,9","0,8","1,3","1,2","1,1","0,9","0,8","0,8","0,6","0,7","0,6","1,9","1,7","1,2","0,8","0,8","0,7","1,2","1,2","1,1"
||In eigen huis,% wel eens onveilig ('vaak'/'soms'),"7,6","7,0","6,7","6,8","6,1","5,3","7,1","6,8","7,3","8,1","7,4","6,4","8,6","8,5","9,4","8,1","6,8","6,8","8,8","7,8","7,9","9,0","7,5","7,5","9,8","8,5","8,1","7,7","7,4","6,6","8,8","8,1","8,2","11,4","10,3","9,3","1,2","1,1","1,1","1,1","1,1","1,0","1,3","1,3","0,7","0,9","0,9","0,8","1,7","1,5","1,2","0,7","0,6","0,6","0,9","0,9","0,8","0,6","0,5","0,5","0,5","0,5","0,4","1,4","1,4","1,1","0,6","0,6","0,6","1,0","0,9","0,8"
||Door onbekenden op straat,% komt 'wel eens' (vaak/soms) voor,"21,0","19,0","17,8","15,2","14,1","15,0","15,0","16,0","14,6","18,5","17,4","17,0","22,1","21,4","21,5","17,6","18,4","17,8","25,2","23,7","23,4","24,8","25,0","24,1","23,9","23,5","23,0","16,4","14,5","14,1","19,3","18,4","18,0","18,2","17,8","17,5","1,8","1,8","1,7","1,6","1,6","1,6","1,9","2,0","1,0","1,3","1,3","1,2","2,5","2,2","1,7","1,0","1,0","0,9","1,4","1,4","1,3","0,9","0,9","0,8","0,6","0,7","0,6","2,0","2,0","1,5","0,9","0,9","0,8","1,2","1,2","1,1"
Door onbekenden in openbaar vervoer,% komt 'wel eens' (vaak/soms) voor,"12,1","9,3","10,6","7,0","7,7","7,1","7,7","6,7","8,5","10,1","10,0","9,7","17,2","15,2","15,7","11,3","10,6","11,2","16,6","14,5","14,1","17,8","17,7","16,6","17,7","17,0","16,4","9,7","9,2","8,0","12,3","10,9","9,6","12,6","11,2","11,5","1,5","1,3","1,4","1,1","1,3","1,2","1,4","1,3","0,8","1,0","1,0","1,0","2,3","1,9","1,4","0,8","0,8","0,8","1,3","1,1","1,1","0,8","0,7","0,7","0,6","0,7","0,5","1,7","1,7","1,2","0,8","0,7","0,6","1,1","1,0","0,9"
Door personeel van winkels en bedrijven,% komt 'wel eens' (vaak/soms) voor,"12,4","11,9","11,0","10,1","9,6","9,0","10,5","10,5","10,7","12,1","11,3","10,4","18,3","16,4","15,0","12,3","12,2","11,3","15,9","13,2","13,3","17,3","16,3","15,4","16,5","15,6","14,7","14,1","11,3","10,7","12,8","12,5","11,5","14,8","12,8","11,9","1,5","1,5","1,4","1,3","1,4","1,3","1,6","1,6","0,9","1,1","1,1","1,0","2,4","1,9","1,4","0,8","0,8","0,8","1,2","1,1","1,1","0,8","0,7","0,7","0,5","0,6","0,5","2,0","1,8","1,3","0,8","0,8","0,7","1,2","1,0","0,9"
Door personeel van overheidsinstanties,% komt 'wel eens' (vaak/soms) voor,"11,4","9,9","9,6","9,2","8,4","9,1","11,3","9,1","9,4","10,4","10,1","8,3","15,6","12,6","9,9","10,4","10,5","9,8","11,7","9,0","9,2","13,3","12,2","10,9","13,4","12,4","11,4","12,1","9,9","8,6","10,5","10,0","8,8","12,0","11,5","10,2","1,4","1,4","1,3","1,3","1,3","1,3","1,7","1,5","0,8","1,0","1,0","0,9","2,2","1,7","1,2","0,8","0,8","0,7","1,1","0,9","0,9","0,7","0,7","0,6","0,5","0,6","0,5","1,8","1,7","1,1","0,7","0,7","0,6","1,0","1,0","0,9"
"Door bekenden (partner, familie, vriend)",% komt 'wel eens' (vaak/soms) voor,"8,1","5,9","6,8","7,6","7,2","7,2","6,4","6,6","6,1","6,3","6,1","5,8","8,1","6,9","6,9","5,8","6,8","6,5","6,4","6,1","5,2","6,5","7,1","6,7","6,9","6,4","6,4","6,2","6,8","5,6","5,6","6,3","6,4","7,2","7,5","6,3","1,3","1,1","1,2","1,2","1,2","1,2","1,3","1,3","0,6","0,8","0,8","0,8","1,8","1,4","1,1","0,6","0,6","0,6","0,9","0,8","0,7","0,5","0,5","0,5","0,4","0,4","0,4","1,3","1,4","0,9","0,5","0,6","0,5","0,8","0,9","0,7"
