vmgebiednaam,vmgebiednr,VMgebiednaamDEF,veiligheidsindex,ipsl_risicoperceptie,ipsl_onveiligheids-gevoelens,ipsl_vermijding,Onveiligheids-belevingindex,Ipersonenoverlast,Iverloedering,overlastindex,HICindex,HVCIndex,criminaliteitsindex,Slachtof_MEAN,HoevCrim_MEAN,VerandCrim_MEAN,OnveiligheidBuurt_MEAN,OnveiligheidAlgemeen_MEAN,rapportcijfer_veiligheid_buurt_MEAN,NietOpen_MEAN,Omloop_MEAN,StrLoopt_MEAN,Alleen_MEAN,Geen_activieit_avond_MEAN,niet_alleen_buiten_MEAN,HoevOverlastBuurt_MEAN,VerandOverlastBuurt_MEAN,risicoperceptie,onveiligheidsgevoelens,vermijding,Rommel_MEAN,Verniel_MEAN,Beklad_MEAN,HondPoep_MEAN,onderhoud_straat_MEAN,onderhoud_groen_MEAN,Dronken_MEAN,Drugs_MEAN,Horeca_MEAN,BuurtWon_MEAN,LastVal_MEAN,Jongeren_MEAN,verloedering,blok_overlast,diefstal_uit_van_auto_sum,autodiefstal_sum,Diefstal_ander_motorvoertuig_sum,fietsdiefstal_sum,beroving_sum,zakkenrollerij_sum,mishandeling_sum,bedreiging_sum,sexuele_int_gew_ sum,overige_diefstal_ sum,vernielingen_sum,inbraak_totaal,brom_snor_samen,inbrwoni,moorddood,straatro,overval,zeden_incl_ kinderporno,mishand_en_ geweld,bedreiging_incl_ chantage,inbrbox,uitauto,zakrolexOV,vermogen,inbrbedr,winkel,vanpersauto,fietsdief,bromsnorfiets,ovvoert_incl_vracht_vaar_motor,drugs_totaal,Boalleprios,Goalleprios,Joalleprios,POalleprios,verniel,won1000,pinbrwoni,zed1000,pzeden_incl_ kinderporno,moorddood1000,pmoorddood,mishand_en_ geweld1000,pmishand_en_ geweld,bedr1000,pbedreiging_incl_ chantage,str1000,pstraatro,ovr1000,poverval,box1000,pinbrbox,uiau1000,puitauto,vaut1000,pvanpersauto,fiets1000,pfietsdief,bromsnor1000,pbromsnorfiets,ovvo1000,povvoert_incl_ vracht_vaar_motor,verm1000,pvermoge,bedrijf1000,pinbrbedr,wink1000,pwinkel,zakr1000,pzakrolexOV,personen1000,ppersonenov,jeugd1000,pjeugdov,geluid1000,pgeluid,buur1000,pburenov,drugs_totaal1000,pdrugstotaal,vern1000,pverniel,poverlastmeld,ipsl_verloedering,ipsl_blok_overlast,psl_vernielingen,ipsl_vernielingen_ sum,psl_diefstal_uit_van_auto,psl_autodiefstal,psl_Diefstal_ander_motorvoertuig,psl_fietsdiefstal,psl_beroving,psl_zakkenrollerij,psl_mishandeling,psl_bedreiging,psl_sexuele_int_ gew,psl_overige_diefstal,psl_inbraak_totaal,psl_brom_snor_ samen,ipsl_diefstal_uit_ van_auto,ipsl_autodiefstal,ipsl_Diefstal_ander_motorvoertuig,ipsl_fietsdiefstal,ipsl_beroving,ipsl_zakkenrollerij,ipsl_mishandeling,ipsl_bedreiging,ipsl_sexuele_int_ gew,ipsl_overige_ diefstal,ipsl_vernielingen,ipsl_inbraak_totaal,ipsl_brom_snor_ samen,Izeden,Imoorddood,Ibedreig,Imishandeling_en_ geweld,Istraatroof,Ioverval,Iinbrwoning,Iinbrbox,Iuitauto,Ivanpersauto,Ifietsdief,Ibromsnorfiets,Ioverigvoertuig,Ivermogen,Iinbrbedr,Iwinkel,Izakrol,N_wijk,pop,nwoninge,nwink,nbedr,werkpers,student,bezoek,nbezoek,verbtot3,verbnieuw,jaar
F85abc,36,Slotervaart Noord,101.491735,103.713696,113.677016,121.284482,112.891731,77.3282,99.420924,88.374562,106.550458,99.867366,103.208912,24.051122,62.070463,56.320688,18.556618,21.318883,46.27743,32.550427,21.094759,20.680148,12.541218,20.447429,12.014847,57.880615,55.447312,55.899604,23.995899,22.765058,34.251916,17.030129,12.03957,23.797935,32.76699,33.894231,2.485978,9.201169,8.670008,19.579239,10.330102,28.777939,26.484596,13.890903,14.553774,2.516351,0.596194,15.01409,0.183395,1.386012,0.668685,1.38864,0.119824,3.543427,25.507715,21.330074,0.730848,71,5,9,1,7,27,26,30,72,6,41,9,0,9,60,37,17,3,47,36,46,31,38,21.162444,168.769981,0.754066,232.27159,0.538619,213.375225,2.908541,87.495763,2.800817,110.653608,0.969514,81.855792,0.107724,86.528959,3.79123,293.17614,7.756109,114.365658,0.969514,106.86556,6.463424,93.867195,3.985778,204.547983,1.831303,83.41153,4.416673,51.198485,17.110266,91.086904,0,0,0.646342,12.421738,3.917604,38.74995,5.813219,96.078487,4.549476,36.179882,5.939593,64.554289,0.323171,29.531882,4.431863,112.651241,53.018898,94.469392,101.637502,22.241725,87.814885,12.690319,2.194159,0.519858,13.091696,0.159914,1.208548,0.583067,1.21084,0.104482,3.089729,18.598986,0.637271,97.945814,173.058081,26.529336,62.712081,59.808883,59.810225,51.782649,51.782968,51.783675,63.290757,87.814885,210.451701,26.529246,172.108952,213.375225,91.030062,75.591391,74.506822,86.528959,182.663887,293.17614,108.892377,128.929733,83.482157,145.208404,64.450799,55.229242,91.086904,0,28.217901,114.684066,7913,3355,15,526,708.097534,494.849315,2907.069832,4110.016681,9283.00556,8574.272405,2014
F85defg,37,Slotervaart Zuid,117.188416,106.62684,143.573301,150.140054,133.446732,101.801268,113.264387,107.532828,113.905245,107.266133,110.585689,37.840709,67.151248,54.427204,18.465749,21.411598,48.918668,39.203312,23.463281,31.900011,20.000151,27.119721,21.797809,59.81677,53.837074,57.46973,30.306658,28.181239,51.60286,24.541863,14.374153,29.808834,36.157025,33.613445,10.451116,9.042572,5.008066,23.995931,15.588044,29.964684,32.985814,15.420135,7.812853,1.879657,3.753848,29.811111,0.389009,2.939941,1.638183,3.401973,0.293552,1.597647,34.68328,27.164822,4.60168,76,4,11,3,7,60,48,14,42,15,91,28,51,11,54,18,24,7,95,64,92,79,54,16.751157,133.590074,0.541465,166.785084,0.309409,122.573079,4.64113,139.616139,3.712904,146.688,0.850874,71.839071,0.232057,186.399116,1.473064,113.912174,3.248791,47.904195,0.850874,93.788385,4.177017,60.662104,1.392339,71.454091,1.856452,84.556992,7.039048,81.597295,50.2693,267.6098,1378.378378,173.769559,1.160283,22.298903,8.31229,82.218829,9.680135,159.989283,6.734007,53.552451,9.995791,108.638957,0.541465,49.479924,4.572475,116.225388,90.775889,117.658953,112.826647,23.848482,94.158688,5.372176,1.292466,2.581174,20.498342,0.267486,2.021526,1.126427,2.339222,0.201848,1.098554,18.678734,3.164149,41.46327,101.939586,131.722289,98.191529,100.041668,100.043913,100.038929,100.039547,100.040913,22.503037,94.158688,211.354065,131.721843,144.537027,122.573079,131.138515,126.423736,81.239936,186.399116,159.511404,113.912174,45.75722,96.505452,73.171912,91.543342,100.278758,61.899209,267.6098,173.769559,48.213906,145.431818,9504,4537,37,557,4904.829479,0,5366.826755,10271.656235,12927.885412,11809.796504,2014
F86,38,Overtoomse Veld,121.806816,108.174754,136.24558,157.068874,133.829736,115.070042,129.891321,122.480682,102.80484,115.415221,109.11003,30.201604,65.862162,53.821097,20.352431,21.714904,49.821211,34.613666,30.248033,31.222935,16.889969,29.055768,18.863992,62.383201,54.279699,58.304025,28.759861,29.481776,56.139636,30.173614,17.039378,29.261996,45.472441,40.429688,13.07271,8.450139,6.438438,29.839168,20.438732,35.091539,36.301225,19.142886,17.78243,1.411889,5.521442,39.142053,0.429373,3.244989,0.744686,1.54647,0.133443,8.563323,58.163686,35.092454,6.768495,72,3,21,3,7,66,55,19,97,9,95,39,8,17,82,38,37,10,71,110,102,106,67,16.252822,129.61586,0.47132,145.178588,0.201994,80.020584,4.443875,133.68222600000001,3.703229,146.305751,1.41396,119.380302,0.201994,162.251682,1.68649,130.416454,6.531149,96.303339,1.144634,126.168417,5.521178,80.183114,2.558594,131.305691,2.491263,113.471127,6.396486,74.148665,53.571429,285.18876,421.052632,53.08131,0.605983,11.646089,9.408841,93.065077,9.05379,149.637318,9.763891,77.647727,6.302148,68.494707,0.673314,61.528503,5.017527,127.537925,90.074666,129.484879,140.065419,34.399797,135.81744,10.517077,0.835035,3.265551,23.149817,0.253944,1.919186,0.44043,0.91463,0.078922,5.064613,20.754759,4.003097,81.172402,65.860972,166.647353,110.892673,94.977085,94.979217,39.114975,39.115217,39.115751,103.744754,135.81744,234.844755,166.646788,109.824309,80.020584,110.575573,102.159809,111.245897,162.251682,164.692159,130.416454,91.259693,106.065935,90.419634,143.086057,131.196536,84.014028,285.18876,53.08131,39.423798,169.081481,11266,4430,19,728,3563.897644,970.794521,6223.020026,10757.71219,14851.904063,13353.1927,2014
F87,39,Westlandgracht,102.766439,102.909203,121.554719,115.432368,113.298763,103.572413,88.919646,96.24603,99.991769,97.517283,98.754526,27.158009,56.732697,53.627659,15.764736,20.941283,44.734028,27.268499,21.790026,27.700672,14.134087,25.099036,11.526783,59.984671,54.674726,55.465998,25.658791,21.666618,39.985472,18.108448,14.226923,22.050359,38.146552,31.465517,12.805967,10.918241,1.121586,18.686682,16.718539,26.016502,27.830529,14.377445,18.640664,2.009736,1.325292,23.936052,0.284751,2.152008,0.705198,1.464467,0.126367,4.401592,20.392721,7.356746,1.624617,47,5,12,1,4,56,73,7,110,14,78,16,12,23,53,20,39,12,82,70,30,104,31,13.113839,104.582552,0.349908,107.780434,0.437384,173.270998,4.898705,147.364599,6.385812,252.288223,1.049723,88.627813,0.087477,70.265697,0.974523,75.359968,9.622457,141.885399,2.011968,221.771113,4.636275,67.331818,1.749538,89.785325,3.411598,155.390212,6.823196,79.09513,17.758047,94.535379,521.73913,65.774667,1.224676,23.536454,14.47863,143.211566,4.176528,69.027935,9.745232,77.499336,11.415843,124.072746,1.049723,95.925264,3.238946,82.32911,101.947369,99.270277,105.197458,17.995223,71.048824,16.44915,1.773458,1.169482,21.121978,0.251274,1.899004,0.622291,1.292295,0.111511,3.884113,6.49184,1.433617,126.957038,139.876478,59.68092,101.178883,93.978299,93.980408,55.266164,55.266505,55.26726,79.563098,71.048824,73.45663,59.680717,90.276043,173.270998,186.614317,116.665121,90.411309,70.265697,94.207244,75.359968,136.909279,194.472901,78.614173,79.750455,123.487115,79.251119,94.535379,65.774667,47.017772,113.322968,7183,3584,23,901,3814.999233,590.164384,8340.613191,12745.776807,11431.592269,9571.013608,2014
F88/F84d,40,Sloter/Rierkpolder/Dorp Sloten,91.514347,114.087748,105.945735,127.731342,115.921608,61.281777,83.548738,72.415258,85.403975,87.008377,86.206176,21.87524,64.067547,64.428402,13.246266,19.865589,43.52246,36.713687,12.226107,19.2487,14.292289,24.012094,15.445128,59.108575,58.896906,61.49101,22.363915,23.975131,34.146496,14.51975,7.58051,32.926477,29.494382,29.096045,2.843013,4.761963,2.583384,8.213411,5.84987,23.117625,25.322545,7.8325379999999996,17.993482,1.274835,2.08676,14.367612,0.785985,5.940083,1.451546,3.014388,0.260108,9.373502,23.783622,21.788541,2.558068,94,4,7,4,9,43,47,30,114,10,79,9,20,42,24,33,42,15,76,82,82,66,62,16.681455,133.034202,0.495258,152.552197,0.220115,87.199076,2.366234,71.181907,2.586349,102.180493,0.385201,32.52242,0.220115,176.806966,2.158584,166.9235,6.273272,92.500886,2.311206,254.754844,1.320689,19.180138,1.815947,93.193435,2.311206,105.269937,4.347268,50.393933,7.971656,42.4373,740.740741,93.383786,0.550287,10.575698,4.748885,46.972346,5.90013,97.514913,5.90013,46.92101,5.468413,59.433279,0.825431,75.429119,3.704774,94.169744,65.254133,90.324408,57.309421,10.632608,41.979714,8.044092,0.569923,0.932898,6.423125,0.351379,2.655549,0.648922,1.3476,0.116283,4.190479,9.740696,1.143599,62.085526,44.951019,47.60759,30.768172,131.418346,131.421296,57.631324,57.63168,57.632467,85.838783,41.979714,110.218156,47.607428,120.912287,87.199076,87.330889,66.665046,65.487728,176.806966,125.428854,166.9235,82.362433,184.820236,23.042816,77.9981,86.049155,62.208883,42.4373,93.383786,50.857564000000004,223.685681,13898,5635,27,1129,5924.583671,151.287671,6747.130095,12823.001437,18172.333812,16735.163444,2014
K24,41,Oude Pijp,92.552259,98.890551,69.412724,50.079738999999996,72.794338,128.808269,105.578313,117.193291,67.129412,108.208883,87.669147,11.626844,54.929162,49.853574,7.927552,15.149275,38.437664,17.611741,6.79565,9.682308,4.907244,8.917517,5.453652,57.305604,55.654016,53.300026,14.652221,9.399951,47.602904,13.736984,26.359973,48.825299,37.727273,31.402439,24.471924,10.891941,18.760114,18.446702,7.597142,12.275837,34.055892,15.610537,19.697317,8.023351,2.709304,95.376245,0.698361,5.277868,1.808082,3.754799,0.323997,13.864256,77.826039,5.186873,3.321218,57,4,22,7,6,49,49,6,178,225,294,48,234,16,290,45,64,28,196,472,38,266,55,6.266491,49.975112,0.235007,72.388072,0.156671,62.065704,1.919222,57.734717,1.919222,75.823883,0.861691,72.752395,0.274175,220.230378,0.404749,31.299282,6.971867,102.80183,0.626685,69.076917,11.35866,164.959866,1.762551,90.453151,2.506739,114.176007,11.515331,133.486791,20.347605,108.320953,772.277228,97.359532,8.812753,169.367995,17.943875,177.487124,2.563411,42.366997,31.840259,253.210901,13.221802,143.700763,1.096698,100.217972,2.812128,71.480043,143.396751,121.47587300000001,114.219787,31.934051,126.082172,8.082322,3.29219,1.111698,39.135358,0.286556,2.165647,0.741903,1.540692,0.132944,5.688865,2.128309,1.362782,62.380594,259.662121,56.7321,187.4669,107.173955,107.17636,65.889068,65.889475,65.890375,116.53208,126.082172,24.082295,56.731908,70.222173,62.065704,72.512414,60.452834,84.226248,220.230378,41.344173,31.299282,89.328085,132.605318,172.462211,79.212736,95.028038,127.835221,108.320953,97.359532,148.63745,243.708632,14824,9096,303,2359,3450.945096,0,28670.597567,32121.542663,25531.180888,19558.139728,2014
K25,42,Nieuwe Pijp,97.476516,105.577149,87.800513,78.500642,90.626101,118.821463,125.714466,122.267964,72.740969,86.329995,79.535482,18.345232,57.971098,54.506506,12.01039,16.875901,40.870647,21.807473,11.842814,16.863619,5.442472,15.647573,7.391566,61.9836,57.949601,56.903968,18.533669,14.734545,49.82312,11.347666,24.51384,45.196031,40.806452,37.171053,22.094148,15.026262,10.425695,19.393528,7.484565,24.074806,34.622394,16.851572,26.45145,0.604789,2.669053,69.60953,0.74275,5.613334,4.214195,8.751512,0.755157,6.780455,51.494126,8.870034,3.271876,40,0,5,3,1,43,42,1,106,19,104,26,60,11,181,40,48,12,120,278,67,147,78,5.47046,43.626783,0.063371,19.519956,0,0,2.724963,81.973313,2.661592,105.153153,0.316856,26.752088,0.190114,152.708605,0.082651,6.391445,6.717351,99.048928,0.697084,76.836703,11.470193,166.579649,2.534849,130.087104,3.041819,138.547657,6.590608,76.398947,15.276146,81.322921,722.891566,91.133575,1.204053,23.140114,12.149764,120.176203,5.537648,91.523963,22.977106,182.726328,9.918175,107.795388,0.760455,69.491534,5.566033,141.480117,114.342683,123.496561,123.300242,25.539931,100.836877,13.119326,0.299962,1.32379,34.524765,0.368387,2.784088,2.090146,4.340554,0.374541,3.362954,4.399338,1.622777,101.256952,23.658651,67.55557,165.381157,137.779505,137.782597,185.627673,185.628819,185.631355,68.887547,100.836878,49.779496,67.555341,74.890422,0,131.978375,116.524767,63.761227,152.708605,45.677687,6.391445,99.784936,59.110685,166.180152,109.243183,114.883628,73.895147,81.322921,91.133575,61.354275,201.622023,12099,7312,83,1702,2564.091507,523.178082,7955.821264,11043.090853,15780.030284,14013.572087,2014
K26,43,Zuid Pijp,87.826353,87.895418,94.982848,86.86383,89.914032,103.50891,110.592135,107.050523,69.28589,63.743116,66.514503,16.566715,50.023935,39.666219,13.841709,20.866453,39.602256,26.342541,11.907502,20.124475,6.567247,15.454445,10.252206,52.646241,43.685931,47.373869,20.049777,16.304313,47.802194,9.686741,12.564045,45.540775,33.156028,31.428571,13.555291,8.485263,10.191019,22.472838,9.821401,26.129747,30.259546,14.939234,5.278444,0,0.819995,30.058014,0.53841,4.069037,1.847806,3.837292,0.331115,4.226513,44.425959,4.089623,1.005196,29,0,8,1,3,37,16,5,51,11,43,7,3,6,80,22,28,3,92,136,57,76,37,6.352683,50.662497,0.306235,94.328216,0,0,3.776899,113.61804,1.633254,64.525968,0.816627,68.947608,0.102078,81.994324,0.609979,47.169753,5.205997,76.763651,0.61247,67.51011,8.166269,118.597324,2.245724,115.249346,2.858194,130.18397,4.38937,50.881982,9.395973,50.019684,125,15.758514,1.122862,21.579735,9.271685,91.708434,6.953764,114.928943,16.591436,131.944041,11.223618,121.983559,0.306235,27.984235,4.128617,104.943192,97.709842,107.934475,109.307978,32.891659,129.863002,3.908003,0,0.6071,22.25406,0.398623,3.012594,1.36806,2.841017,0.245148,3.129184,3.027835,0.744218,30.162564,0,30.981484,106.601803,149.08786,149.091206,121.498628,121.499378,121.501038,64.098961,129.863002,34.260635,30.981379,103.385823,0,83.517105,116.244903,95.661025,81.994324,45.19521,47.169753,61.229956,45.00674,114.598817,87.160024,97.116475,55.287642,50.019684,15.758514,64.083559,135.067553,8197,4565,24,745,792.313315,758.849315,3247.023112,4798.185742,9796.395247,8961.838492,2014
K44,44,Hoofddorppleinbuurt,90.398706,92.849842,83.922354,60.556901,79.109699,86.918595,108.893094,97.905844,69.216559,119.144588,94.180574,15.828897,51.20698,55.42043,9.877516,18.63642,38.511538,21.71289,8.69992,15.379977,7.502035,9.921639,4.073503,47.162987,52.139286,50.044205,17.715035,11.366511,45.034199,9.633339,11.023064,41.104147,29.19708,27.573529,16.938849,17.804896,3.606944,15.141514,15.532861,22.666389,26.992831,15.243101,20.779338,4.076486,1.100597,33.592539,0.57648,4.356752,3.233896,6.71575,0.579494,8.964259,59.625806,4.06842,1.349174,39,2,7,2,5,18,20,2,193,15,59,17,16,64,159,55,61,4,73,134,24,101,61,6.077606,48.468764,0.355006,109.350987,0.142003,56.254677,1.278023,38.445934,1.420025,56.101811,0.497009,41.96233,0.142003,114.06335,0.175485,13.570254,13.703243,202.057556,4.54408,500.875605,11.2892,163.951111,3.905069,200.406045,4.331077,197.270277,4.189074,48.560139,10.179641,54.191557,205.128205,25.860125,1.065019,20.468076,8.861981,87.655959,2.105817,34.804082,11.75748,93.501818,6.405194,69.614662,0.284005,25.952818,4.65785,118.395488,62.305868,96.282245,111.531322,32.349096,127.720852,11.273521,2.211637,0.597113,18.225133,0.312761,2.363691,1.754502,3.64353,0.314396,4.863426,2.207261,0.731975,87.010752,174.436563,30.471815,87.302364,116.974817,116.977442,155.818843,155.819805,155.821934,99.623578,127.720852,24.975653,30.471712,124.841303,56.254677,89.341142,77.570237,66.966492,114.06335,40.637727,13.570254,163.708621,392.062591,138.401529,143.761267,141.67079,65.581285,54.191557,25.860125,52.637865,184.319853,11397,6417,78,1670,3318.957699,91.013699,4651.801449,8061.772846,14084.257615,13096.171126,2014
K45,45,Schinkelbuurt,93.546674,95.760009,80.740245,58.597779,78.366011,90.208068,124.334551,107.271309,107.314995,82.690412,95.002703,16.475668,52.172304,53.727766,7.488363,20.664701,38.341746,17.675869,9.438982,9.992984,6.381723,10.407225,5.055167,53.361128,58.244624,51.612726,17.043329,10.998784,50.717387,9.923122,15.083768,48.697302,34.953704,36.666667,17.421422,5.696328,8.774039,13.058011,9.5104590000000009,14.490379,33.665872,11.843868,6.489147,0.177902,0.290688,9.98303,0.078223,0.59117,0.698061,1.449645,0.125088,4.188027,23.739354,3.727262,0.356342,13,2,7,3,2,13,8,0,33,8,28,10,9,8,59,17,13,5,43,51,1,52,21,5.731922,45.711943,0.406793,125.30254,0.406793,161.152041,2.644153,79.542353,1.627171,64.285651,1.423775,120.208941,0.610189,490.133693,0,0,6.71208,98.971215,1.627171,179.356479,12.000386,174.27955,3.457738,177.449273,2.644153,120.434898,5.695099,66.018114,18.315018,97.500431,230.769231,29.092641,1.627171,31.271804,13.922356,137.709328,0.267738,4.425057,13.654618,108.588886,11.512718,125.125625,1.016982,92.933374,4.675995,118.856698,93.756454,120.08469,86.659681,37.495482,148.039839,10.249381,0.280989,0.459132,15.767847,0.12355,0.933732,1.102562,2.289663,0.197572,6.614843,5.887081,0.56283,79.106278,22.162238,23.430408,75.531428,46.208727,46.209764,97.919509,97.920113,97.921451,135.500029,148.039839,66.613639,23.430329,116.17551,161.152041,75.497138,85.668072,95.542203,490.133693,52.679175,0,92.34957,126.958399,141.363509,126.109625,88.100068,89.178752,97.500431,29.092641,36.251124,63.312573,3735,2268,39,546,1502.195945,0,2042.329184,3544.525129,4916.508376,4491.02313,2014
K46,46,Willemspark,74.392601,92.651138,59.020632,65.003681,72.22515,53.458138,93.306902,73.38252,44.963091,110.177175,77.570133,8.17289,48.267944,55.411121,5.856551,13.088321,33.26914,18.261962,4.707957,6.986096,6.057387,13.281028,7.697402,42.595543,53.341642,49.937107,12.458571,12.20117,40.894478,4.153232,12.096084,39.32212,29.956897,29.310345,5.049191,0.101984,9.030292,11.237803,1.86196,9.204878,24.601086,6.281516,23.29907,1.162257,0.993444,18.301255,0.012823,0.096909,1.116734,2.319094,0.200112,5.959361,35.364504,0.32272,1.21782,13,0,1,1,1,14,11,0,73,1,47,12,1,26,78,30,31,1,35,64,12,56,17,5.040713,40.199568,0.135887,41.856598,0,0,1.902415,57.229133,1.494755,59.0542,0.135887,11.472889,0.135887,109.150907,0,0,9.919736,146.268858,3.533057,389.434548,10.59917,153.929928,4.076604,209.209116,4.212491,191.868966,6.386679,74.034984,16.483516,87.750388,38.461538,4.848774,0.135887,2.611542,9.973286,98.648137,2.137133,35.32165,11.398041,90.643365,6.233304,67.746473,0.135887,12.417545,2.594867,65.957577,60.955434,87.750993,45.960841,41.708393,164.673276,27.478592,1.37075,1.171654,21.58424,0.015123,0.114293,1.317061,2.735107,0.236009,7.028386,0.380611,1.436279,212.083955,108.113994,59.79174,103.393217,5.656166,5.656293,116.969289,116.970011,116.971608,143.971136,164.673276,4.306704,59.791538,66.894935,0,78.35947,77.142518,9.533981,109.150907,28.23528,0,168.207223,295.66103,137.084357,159.403256,147.843224,97.347034,87.750388,4.848774,3.626459,84.789898,5615,2579,26,728,1355.383562,652.164384,3224.652087,5232.200032,7359.066677,6551.396579,2014
K47/K50,47,Museumkwartier,83.045457,92.3951,54.99907,44.090236,63.828136,79.845278,110.509321,95.1773,78.002972,102.258896,90.130934,8.561285,46.861873,57.193919,3.337241,12.912557,33.801985,14.696334,5.800633,8.719026,1.888874,9.21936,2.761562,46.453421,56.502765,49.799108,11.609665,8.275723,39.244346,8.59757,13.926728,31.422803,27.5,24.817518,13.348877,5.500747,5.407174,8.328349,2.067248,9.709784,24.694368,7.354871,29.702083,0,1.169953,35.623358,0.608055,4.595382,1.287077,2.672841,0.230636,5.666818,61.853343,8.286899,1.434194,36,6,64,3,11,51,34,2,366,167,326,49,110,35,344,71,58,15,151,213,46,205,103,5.331754,42.520606,0.437724,134.830232,0.238759,94.584894,2.029449,61.050606,1.352966,53.45246,2.546759,215.02226,0.119379,95.891315,0.155099,11.993811000000001,14.56428,214.753755,1.392759,153.518191,13.688831,198.800548,2.825311,144.993445,2.308001,105.123959,12.972555,150.379072,15.109467,80.435601,423.076923,53.336509,6.64545,127.715655,15.897635,157.247278,3.567274,58.958439,16.51803,131.360279,11.709965,127.269404,0.596897,54.545343,5.395567,137.147133,105.876149,88.083727,53.814408,31.535974,124.51048,15.14363,0,0.596501,18.162596,0.310017,2.342959,0.656217,1.36275,0.11759,2.889231,4.225082,0.731225,116.880838,0,30.44061,87.002798,115.948828,115.951431,58.27923,58.27959,58.280386,59.183704,124.51048,47.807745,30.440506,109.313617,94.584894,55.061503,60.126814,181.997783,95.891315,44.282986,11.993811000000001,182.129449,102.345461,161.534631,106.809132,80.229509,119.980616,80.435601,53.336509,123.794247,196.135826,12895,6752,260,3243,7711.825096,2198.109589,26794.992033,36704.926718,25129.975573,19089.746068,2014
K48,48,Stadionbuurt,86.676028,87.672501,78.628883,74.606702,80.302695,66.173105,99.475577,82.824341,94.438645,99.363448,96.901046,15.535222,45.750967,55.028775,9.209101,18.570789,36.435456,20.809123,9.291041,10.777634,8.196334,15.739225,10.157056,45.161132,56.700678,47.253721,16.597645,14.003654,34.385144,6.157162,6.78406,40.873658,28.253425,28.061224,3.396217,6.61585,2.424846,15.635921,4.691365,10.896867,23.734603,7.532023,11.351952,0.995469,5.865495,47.391432,0.394655,2.98261,3.643347,7.566047,0.652865,8.346458,39.848198,2.851076,7.190255,49,2,15,3,5,45,42,2,94,32,107,14,5,21,150,54,59,7,110,137,34,100,63,7.615791,60.73575,0.374865,115.467996,0.149946,59.401519,3.373786,101.491423,3.148867,124.404215,1.124595,94.949293,0.224919,180.665947,0.176336,13.636059,7.047463,103.916512,1.574433,173.543408,11.245952,163.323027,4.048543,207.769028,4.423408,201.475736,8.022112,92.993074,12.163336,64.751807,135.135135,17.036231,2.399136,46.107828,8.816787,87.208934,2.997708,49.544878,12.078998,96.058706,9.698466,105.407485,0.524811,47.958046,5.052664,128.431057,77.23561,84.660287,55.1106,21.784708,86.010487,6.206026,0.544215,3.206622,25.908537,0.215755,1.63057,1.99179,4.1363,0.356916,4.562945,1.558662,3.930858,47.899054,42.92345,163.640089,124.107545,80.69398,80.695791,176.892598,176.893691,176.896107,93.468466,86.010487,17.636609,163.639534,135.944033,59.401519,141.900707,126.625148,90.197522,180.665947,46.36937,13.636059,85.244026,130.003422,150.251199,193.059196,188.863854,93.151538,64.751807,17.036231,57.637149,182.918209,11342,6434,37,1151,1814.979507,124.520548,4048.898615,5988.39867,13338.13289,12468.670564,2014
K49,49,Apollobuurt,68.838197,91.96671,70.74652,66.206063,76.306431,58.736939,74.679724,66.708332,31.602504,95.397154,63.499829,13.395302,48.736424,54.971944,7.74881,16.000287,32.634034,20.544816,6.931924,9.821407,8.273046,12.51767,6.984426,46.517988,55.51116,49.568214,14.933769,12.426857,40.431366,5.165947,7.574313,25.024759,25.210084,24.57265,0.808456,5.413869,2.289731,7.669341,2.885574,12.24083,21.778095,5.23883,18.723091,0,3.645711,41.995351,0.199806,1.510033,0,0,0,12.827329,27.156863,7.234359,4.469118,35,0,7,1,2,11,6,4,152,5,66,11,5,25,117,31,33,1,49,61,96,76,27,9.069707,72.330696,0.166217,51.199151,0,0,0.914195,27.501137,0.498652,19.700543,0.58176,49.117885,0.083109,66.756904,0.462588,35.771987,12.632511,186.269366,2.077716,229.018189,9.723709,141.215758,2.576367,132.217786,2.742585,124.918229,5.485169,63.584594,8,42.588188,58.139535,7.329541,0.415543,7.98612,8.789175,86.93582,11.102116,183.49121,7.05447,56.100946,5.666705,61.588415,0.083109,7.594594,2.56213,65.125464,79.142197,77.68151,38.331681,21.473782,84.782888,14.804934,0,2.882778,33.207039,0.157993,1.19403,0,0,0,10.142971,5.720434,3.533872,114.266733,0,147.113702,159.068961,59.090411,59.091737,0,0,0,207.771045,84.782888,64.727993,147.113203,34.132767,0,13.133695,18.334091,52.44206,66.756904,69.796462,35.771987,162.268488,152.678792,147.166826,137.182925,132.31672,111.646744,42.588188,7.329541,25.021326,126.465207,8647,3859,86,1375,2983.510685,2022.191781,5150.633737,10156.336203,12032.445401,10538.106751,2014
