jaar,field_name,corr_field,spearman,pearson,S>P
2015,gem_veiligheidsgevoel, Valsheid in zegels en merken,0.039161355069644355,0.05494049491443831,FALSE
2015,gem_veiligheidsgevoel, Valsheidsmisdrijf,0.028319671295760074,0.04268751420133454,FALSE
2015,gem_veiligheidsgevoel, Verblijf ongewenste vreemdeling,0.10060235079905988,0.057542896466194815,TRUE
2015,gem_veiligheidsgevoel, Verkeersmisdrijf (overig),0.08486877113393487,0.09158784519634122,FALSE
2015,gem_veiligheidsgevoel, Verkeersmisdrijven,0.058589475388567624,0.0579677418450566,TRUE
2015,gem_veiligheidsgevoel, Verkrachting,0.5185512602345415,0.12547578328689601,TRUE
2015,gem_veiligheidsgevoel, Verlaten plaats ongeval,0.08001937592027497,0.05715190562062977,TRUE
2015,gem_veiligheidsgevoel, Vermogensmisdrijven,0.06661188226688908,0.04453242018526993,TRUE
2015,gem_veiligheidsgevoel, Vernieling aan auto,0.21702022575997715,0.06863890344426427,TRUE
2015,gem_veiligheidsgevoel, Vernieling aan openbaar gebouw,0.49855598552418856,0.15838104768116712,TRUE
2015,gem_veiligheidsgevoel, Vernieling en beschadiging,0.22620604493502672,0.07315778755124036,TRUE
2015,gem_veiligheidsgevoel, Vernieling middel openbvervoer,0.017358585846083407,0.09100360736988922,FALSE
2015,gem_veiligheidsgevoel," Vernieling, beschadiging (overig)",0.15173503571673042,0.07795623515234107,TRUE
2015,gem_veiligheidsgevoel," Vernielingen, misdropenborde/gezag",0.22620604493502672,0.06786916872129267,TRUE
2015,gem_veiligheidsgevoel, Voeren vals kenteken,0.229118453414914,0.08060332828223782,TRUE
2015,gem_veiligheidsgevoel, Vrijheidsbeneming/gijzeling,0.019600372359515728,0.03867891206011831,FALSE
2015,gem_veiligheidsgevoel, Wederspannigheid,0.05644958783915088,0.04784721437348316,TRUE
2015,gem_veiligheidsgevoel, Weigeren blaastest/bloedonderzoek,0.04998964144110385,0.05059710989380806,FALSE
2015,gem_veiligheidsgevoel, Witwassen,0.077527200453535,0.06346758671615493,TRUE
2015,gem_veiligheidsgevoel,"Misdrijven, totaal",0.06661188226688908,0.051476354126378965,TRUE
2016,gem_veiligheidsgevoel, (Vuur)wapenmisdrijven,0.013442814240300471,0.024182120281883268,FALSE
2016,gem_veiligheidsgevoel, Aanranding,0.041521494410318605,0.02484736542316268,TRUE
2016,gem_veiligheidsgevoel, Afpersing en afdreiging,0.011169928925967687,0.02303376201496654,FALSE
2016,gem_veiligheidsgevoel, Bankbreuk,0.3043074354691464,0.07734197725888325,TRUE
2016,gem_veiligheidsgevoel, Bedreiging,0.058589475388567624,0.03392288571810176,TRUE
2016,gem_veiligheidsgevoel, Bedreiging en stalking,0.058589475388567624,0.03459910803490818,TRUE
